institution_name,conference,subdivision,has_football,sport,conference_fin,subdivision_fin,has_football_fin,men_participants,women_participants,revenue_men,revenue_women,expense_men,expense_women,wins,losses,ties,cohort_year,gsr,fgr,nil100_player_count,nil100_sum_valuation_estimate,aid_share_of_revenue,revenue_total,expense_total
Kansas State University,Big 12,P5,1,football,Big 12,P5,1.0,125.0,,27087822.0,,27087822.0,,6.0,6.0,0.0,2018.0,94.0,64.0,3.0,5200000.0,0.0915162639738343,27087822.0,27087822.0
Kansas State University,Big 12,P5,1,basketball,Big 12,P5,1.0,14.0,33.0,10907824.0,4912372.0,10907824.0,4912372.0,12.0,20.0,0.0,2018.0,80.0,43.0,0.0,0.0,0.0915162639738343,15820196.0,15820196.0
Kansas State University,Big 12,P5,1,volleyball,Big 12,P5,1.0,,19.0,,1831029.0,,1831029.0,18.0,10.0,0.0,2018.0,100.0,71.0,0.0,0.0,0.0915162639738343,1831029.0,1831029.0
Oklahoma State University-Main Campus,Big 12,P5,1,football,Big 12,P5,1.0,136.0,,56992244.0,,32830617.0,,1.0,11.0,0.0,2018.0,88.0,67.0,2.0,4500000.0,0.0483977815766572,56992244.0,32830617.0
Oklahoma State University-Main Campus,Big 12,P5,1,basketball,Big 12,P5,1.0,17.0,14.0,18083335.0,2361366.0,11530565.0,4718546.0,20.0,15.0,0.0,2018.0,86.0,31.0,0.0,0.0,0.0483977815766572,20444701.0,16249111.0
Oklahoma State University-Main Campus,Big 12,P5,1,volleyball,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0483977815766572,0.0,0.0
Texas Christian University,Big 12,P5,1,football,Big 12,P5,1.0,130.0,,59568339.0,,59568339.0,,9.0,4.0,0.0,2018.0,68.0,47.0,1.0,1500000.0,0.1610972276980181,59568339.0,59568339.0
Texas Christian University,Big 12,P5,1,basketball,Big 12,P5,1.0,17.0,14.0,15620468.0,9587284.0,15620468.0,9587284.0,23.0,12.0,0.0,2018.0,50.0,17.0,0.0,0.0,0.1610972276980181,25207752.0,25207752.0
Texas Christian University,Big 12,P5,1,volleyball,Big 12,P5,1.0,,20.0,,3729667.0,,3729667.0,21.0,11.0,0.0,2018.0,91.0,80.0,0.0,0.0,0.1610972276980181,3729667.0,3729667.0
Texas Tech University,Big 12,P5,1,football,Big 12,P5,1.0,123.0,,69872378.0,,39745662.0,,12.0,2.0,0.0,2018.0,75.0,49.0,3.0,4500000.0,0.0603672601187109,69872378.0,39745662.0
Texas Tech University,Big 12,P5,1,basketball,Big 12,P5,1.0,15.0,15.0,15976185.0,2215872.0,15637329.0,7100215.0,23.0,11.0,0.0,2018.0,33.0,10.0,2.0,7000000.0,0.0603672601187109,18192057.0,22737544.0
Texas Tech University,Big 12,P5,1,volleyball,Big 12,P5,1.0,,21.0,,297865.0,,1915763.0,10.0,20.0,0.0,2018.0,93.0,64.0,0.0,0.0,0.0603672601187109,297865.0,1915763.0
University of Utah,Big 12,P5,1,football,Big 12,P5,1.0,126.0,,95930953.0,,41410554.0,,11.0,2.0,0.0,2018.0,93.0,75.0,1.0,2000000.0,0.1329709061394622,95930953.0,41410554.0
University of Utah,Big 12,P5,1,basketball,Big 12,P5,1.0,18.0,14.0,16981671.0,764775.0,8954515.0,5015772.0,10.0,22.0,0.0,2018.0,67.0,15.0,0.0,0.0,0.1329709061394622,17746446.0,13970287.0
University of Utah,Big 12,P5,1,volleyball,Big 12,P5,1.0,,17.0,,739043.0,,2573263.0,15.0,15.0,0.0,2018.0,100.0,75.0,0.0,0.0,0.1329709061394622,739043.0,2573263.0
