institution_name,conference,subdivision,has_football,sport,men_participants,women_participants,revenue_men,revenue_women,expense_men,expense_women
Southern Methodist University,ACC,P5,1,football,122.0,,45315587.0,,45315587.0,
Stanford University,ACC,P5,1,football,110.0,,35992019.0,,35992019.0,
Syracuse University,ACC,P5,1,football,124.0,,64585287.0,,42090055.0,
Virginia Polytechnic Institute and State University,ACC,P5,1,football,124.0,,79735756.0,,37803976.0,
University of Virginia-Main Campus,ACC,P5,1,football,127.0,,51441991.0,,33611796.0,
Wake Forest University,ACC,P5,1,football,130.0,,39399925.0,,39399925.0,
University of Notre Dame,ACC,P5,1,football,124.0,,195723436.0,,93255797.0,
Oregon State University,Pac-12,P5,1,football,116.0,,32621301.0,,23847865.0,
Washington State University,Pac-12,P5,1,football,124.0,,38831529.0,,22896016.0,
Butler University,Big East,non-P5,1,football,119.0,,1498263.0,,1421775.0,
Georgetown University,Big East,non-P5,1,football,100.0,,2575007.0,,2575007.0,
Villanova University,Big East,non-P5,1,football,96.0,,8800183.0,,8800183.0,
University of Illinois Urbana-Champaign,Big Ten,P5,1,basketball,14.0,26.0,34764436.0,2186498.0,20565967.0,7258435.0
University of Iowa,Big Ten,P5,1,basketball,17.0,29.0,16702408.0,4779406.0,13292250.0,8482645.0
Indiana University-Bloomington,Big Ten,P5,1,basketball,19.0,37.0,52276379.0,9293179.0,31818423.0,9293179.0
University of Maryland-College Park,Big Ten,P5,1,basketball,15.0,15.0,16464647.0,1401819.0,12972857.0,8236450.0
University of Michigan-Ann Arbor,Big Ten,P5,1,basketball,16.0,36.0,21209886.0,1138510.0,14358515.0,5858899.0
Michigan State University,Big Ten,P5,1,basketball,16.0,16.0,21818193.0,7247013.0,20566735.0,7247013.0
University of Minnesota-Twin Cities,Big Ten,P5,1,basketball,16.0,21.0,15997942.0,1638813.0,15623863.0,6587319.0
University of Nebraska-Lincoln,Big Ten,P5,1,basketball,18.0,50.0,18447339.0,1996767.0,13196203.0,6092105.0
Northwestern University,Big Ten,P5,1,basketball,14.0,16.0,14431898.0,1646018.0,14728871.0,5852067.0
Ohio State University-Main Campus,Big Ten,P5,1,basketball,16.0,14.0,23355035.0,7163564.0,13158683.0,7163564.0
University of Oregon,Big Ten,P5,1,basketball,18.0,29.0,11644706.0,1830118.0,14072866.0,6718334.0
Pennsylvania State University-Main Campus,Big Ten,P5,1,basketball,14.0,13.0,15174250.0,782052.0,14434548.0,5101960.0
Purdue University-Main Campus,Big Ten,P5,1,basketball,18.0,15.0,20966991.0,8493747.0,14040438.0,4911279.0
Rutgers University-New Brunswick,Big Ten,P5,1,basketball,15.0,31.0,16076899.0,7528347.0,16076899.0,7528347.0
University of California-Los Angeles,Big Ten,P5,1,basketball,17.0,29.0,17799741.0,9690479.0,17799741.0,9690479.0
University of Southern California,Big Ten,P5,1,basketball,17.0,30.0,13074782.0,9610324.0,13074782.0,9610324.0
University of Washington-Seattle Campus,Big Ten,P5,1,basketball,16.0,24.0,13456854.0,1951477.0,11725277.0,7531528.0
University of Wisconsin-Madison,Big Ten,P5,1,basketball,17.0,28.0,19869281.0,760053.0,12464124.0,5120630.0
The University of Alabama,SEC,P5,1,basketball,20.0,30.0,24406961.0,5433584.0,15230030.0,5433584.0
University of Arkansas,SEC,P5,1,basketball,15.0,14.0,25392395.0,294472.0,21254027.0,6730975.0
Auburn University,SEC,P5,1,basketball,18.0,21.0,26568984.0,847898.0,20535097.0,5812213.0
University of Florida,SEC,P5,1,basketball,18.0,14.0,17258007.0,237160.0,13427727.0,5517320.0
University of Georgia,SEC,P5,1,basketball,15.0,23.0,16079070.0,1472828.0,10400030.0,5472173.0
University of Kentucky,SEC,P5,1,basketball,15.0,13.0,21370744.0,7659582.0,21370744.0,7659582.0
Louisiana State University and Agricultural & Mechanical College,SEC,P5,1,basketball,16.0,13.0,13624943.0,4137970.0,11104405.0,12099217.0
University of Missouri-Columbia,SEC,P5,1,basketball,18.0,16.0,18857854.0,5748392.0,14354000.0,5748392.0
Mississippi State University,SEC,P5,1,basketball,18.0,26.0,12220601.0,6325217.0,12220601.0,6325217.0
University of Mississippi,SEC,P5,1,basketball,16.0,15.0,18228379.0,8479325.0,18228379.0,8479325.0
University of Oklahoma-Norman Campus,SEC,P5,1,basketball,17.0,24.0,9769244.0,2618570.0,14250771.0,8756319.0
University of South Carolina-Columbia,SEC,P5,1,basketball,14.0,31.0,15446053.0,13119360.0,11074153.0,13119360.0
The University of Tennessee-Knoxville,SEC,P5,1,basketball,15.0,30.0,35316920.0,4352348.0,20241922.0,7559834.0
The University of Texas at Austin,SEC,P5,1,basketball,16.0,32.0,17377540.0,2445545.0,22209288.0,10400257.0
Texas A&M University-College Station,SEC,P5,1,basketball,16.0,11.0,15734652.0,1036356.0,14312941.0,6645735.0
Vanderbilt University,SEC,P5,1,basketball,18.0,28.0,13322320.0,8319805.0,13322320.0,8319805.0
University of Arizona,Big 12,P5,1,basketball,20.0,15.0,22635363.0,8001360.0,22635363.0,8001360.0
Arizona State University Campus Immersion,Big 12,P5,1,basketball,15.0,28.0,10063114.0,6733622.0,10063114.0,6733622.0
Baylor University,Big 12,P5,1,basketball,14.0,34.0,18424983.0,9328990.0,18424983.0,9328990.0
Brigham Young University,Big 12,P5,1,basketball,17.0,16.0,28047261.0,1566760.0,17030052.0,5082856.0
University of Central Florida,Big 12,P5,1,basketball,16.0,15.0,7812023.0,4195677.0,7812023.0,4195677.0
University of Cincinnati-Main Campus,Big 12,P5,1,basketball,16.0,13.0,12321038.0,4400216.0,12321038.0,4400216.0
University of Colorado Boulder,Big 12,P5,1,basketball,17.0,24.0,11918793.0,2337461.0,8608358.0,5177230.0
University of Houston,Big 12,P5,1,basketball,14.0,14.0,14577598.0,3685535.0,14577598.0,3685535.0
Iowa State University,Big 12,P5,1,basketball,15.0,15.0,14437710.0,1201223.0,10382761.0,5282818.0
