institution_name,conference,subdivision,has_football,sport,men_participants,women_participants,revenue_men,revenue_women,expense_men,expense_women
Florida State University,ACC,P5,1,soccer,,26.0,,2800112.0,,2800112.0
University of Louisville,ACC,P5,1,soccer,30.0,31.0,66594.0,28969.0,1475405.0,1555046.0
University of Miami,ACC,P5,1,soccer,,30.0,,3357289.0,,3357289.0
University of North Carolina at Chapel Hill,ACC,P5,1,soccer,41.0,37.0,1152768.0,1870729.0,1942182.0,2971639.0
North Carolina State University at Raleigh,ACC,P5,1,soccer,32.0,29.0,1100806.0,1047299.0,2039362.0,1911394.0
University of Pittsburgh-Pittsburgh Campus,ACC,P5,1,soccer,29.0,38.0,2300789.0,2231347.0,2300789.0,2231347.0
Southern Methodist University,ACC,P5,1,soccer,33.0,31.0,2857263.0,3063751.0,2857263.0,3063751.0
Stanford University,ACC,P5,1,soccer,28.0,29.0,2615880.0,3356314.0,2615880.0,3356314.0
Syracuse University,ACC,P5,1,soccer,32.0,34.0,1254894.0,1258716.0,2572355.0,2317361.0
Virginia Polytechnic Institute and State University,ACC,P5,1,soccer,28.0,36.0,273077.0,442369.0,2016178.0,2268510.0
University of Virginia-Main Campus,ACC,P5,1,soccer,41.0,36.0,2322205.0,2621126.0,2322205.0,2621126.0
Wake Forest University,ACC,P5,1,soccer,30.0,35.0,2929818.0,3211779.0,2929818.0,3211779.0
University of Notre Dame,ACC,P5,1,soccer,31.0,32.0,2749910.0,3403376.0,2749910.0,3403376.0
Oregon State University,Pac-12,P5,1,soccer,30.0,25.0,1821766.0,1434947.0,1821766.0,1434947.0
Washington State University,Pac-12,P5,1,soccer,,29.0,,1175671.0,,2048907.0
Butler University,Big East,non-P5,1,soccer,29.0,32.0,1298105.0,1641354.0,1299790.0,1599496.0
Creighton University,Big East,non-P5,0,soccer,31.0,30.0,1165236.0,1009607.0,1635003.0,1607978.0
DePaul University,Big East,non-P5,0,soccer,30.0,31.0,1310822.0,1403151.0,1310822.0,1403151.0
Georgetown University,Big East,non-P5,1,soccer,28.0,33.0,1998318.0,2119632.0,1998318.0,2119632.0
Marquette University,Big East,non-P5,0,soccer,33.0,32.0,1334925.0,1744552.0,1334925.0,1744552.0
Providence College,Big East,non-P5,0,soccer,40.0,31.0,2570147.0,1875547.0,2570147.0,1875547.0
Seton Hall University,Big East,non-P5,0,soccer,34.0,31.0,1433534.0,1576966.0,1433534.0,1576966.0
St. John's University-New York,Big East,non-P5,0,soccer,41.0,32.0,1645216.0,1495231.0,1645216.0,1495231.0
Villanova University,Big East,non-P5,1,soccer,29.0,34.0,1457020.0,1885201.0,1457020.0,1885201.0
Xavier University,Big East,non-P5,0,soccer,31.0,35.0,88550.0,1435867.0,1271264.0,1435866.0
Gonzaga University,WCC,non-P5,0,soccer,31.0,36.0,1625864.0,1929509.0,1710680.0,2032285.0
Saint Mary's College of California,WCC,non-P5,0,soccer,35.0,39.0,1427481.0,1726727.0,1427481.0,1726727.0
University of Denver,Summit League,non-P5,0,soccer,36.0,32.0,2387022.0,1950934.0,2387022.0,1950934.0
